id,symbol,name,categories,market_cap (usd),market_cap_rank,fully_diluted_valuation (usd)
diamond-launch,dlc,Diamond Launch,['BNB Chain Ecosystem'],13470163,1277,140018040.0
digibyte,dgb,DigiByte,"['Internet of Things (IOT)', 'Smart Contract Platform', 'Layer 1 (L1)', 'Proof of Work (PoW)', 'Made in USA']",183460538,266,183543483.0
digitalbits,xdb,XDB CHAIN,"['Smart Contract Platform', 'Layer 1 (L1)', 'Real World Assets (RWA)']",5056248,1824,5562211.0
digits-dao,digits,Digits DAO,"['Yield Farming', 'Farming-as-a-Service (FaaS)', 'Ethereum Ecosystem']",5047228,1826,6382940.0
dimitra,dmtr,Dimitra,"['Ethereum Ecosystem', 'Real World Assets (RWA)', 'DePIN']",19880038,1053,19880038.0
dimo,dimo,DIMO,"['Polygon Ecosystem', 'IoTeX Ecosystem', 'Ethereum Ecosystem', 'DePIN']",18754924,1092,60884658.0
dingocoin,dingo,Dingocoin,"['Smart Contract Platform', 'BNB Chain Ecosystem', 'Solana Ecosystem', 'Meme', 'Dog-Themed', 'Proof of Work (PoW)']",8643154,1511,8643154.0
dinero-2,dinero,Dinero,"['Infrastructure', 'Decentralized Finance (DeFi)', 'Lending/Borrowing Protocols', 'Ethereum Ecosystem', 'Metagovernance', 'Liquid Staking Governance Tokens', 'LSDFi', 'Curve Ecosystem', 'Liquid Staking']",18193944,1113,32517111.0
district0x,dnt,district0x,"['Ethereum Ecosystem', 'Energi Ecosystem']",21558171,1002,28697481.0
dione,dione,Dione,"['Energy', 'Smart Contract Platform', 'Layer 1 (L1)', 'Made in USA']",19529729,1067,25859356.0
divi,divi,Divi,"['Smart Contract Platform', 'Masternodes', 'Ethereum Ecosystem', 'Proof of Stake (PoS)']",5920309,1721,5920722.0
dmail-network,dmail,Dmail Network,"['Communication', 'SocialFi', 'BNB Chain Ecosystem']",10021424,1421,22657029.0
dkargo,dka,dKargo,['Ethereum Ecosystem'],83990603,466,89605907.0
dodo,dodo,DODO,"['Decentralized Exchange (DEX)', 'Exchange-based Tokens', 'Decentralized Finance (DeFi)', 'BNB Chain Ecosystem', 'Binance Launchpool', 'Polygon Ecosystem', 'Near Protocol Ecosystem', 'Arbitrum Ecosystem', 'Ethereum Ecosystem', 'DWF Labs Portfolio', 'Coinbase Ventures Portfolio', 'Alameda Research Portfolio', 'DeFiance Capital Portfolio', 'Pantera Capital Portfolio', 'Aurora Ecosystem', 'Energi Ecosystem', 'Binance Labs Portfolio', 'Galaxy Digital Portfolio']",68011612,537,68011612.0
dogeai-2,$dogeai,DOGEai,"['Artificial Intelligence (AI)', 'Solana Ecosystem', 'Meme', 'Dog-Themed', 'AI Agents', 'Pump.fun Ecosystem']",22471111,985,29940622.0
dogecoin,doge,Dogecoin,"['Smart Contract Platform', 'Meme', 'Dog-Themed', 'Elon Musk-Inspired', 'Proof of Work (PoW)', 'GMCI Meme Index', 'GMCI 30 Index', 'GMCI Index', 'Coinbase 50 Index']",25781776657,9,25782701153.0
dogelon-mars,elon,Dogelon Mars,"['BNB Chain Ecosystem', 'Solana Ecosystem', 'Polygon Ecosystem', 'Meme', 'Ethereum Ecosystem', 'Cronos Ecosystem', 'Dog-Themed', 'Elon Musk-Inspired', 'Fuse Ecosystem']",75869413,504,138032234.0
dog-go-to-the-moon-rune,dog,Dog (Bitcoin),"['Meme', 'Dog-Themed', 'Bitcoin Ecosystem', 'Runes']",186905136,262,186905136.0
dogi,dogi,dogi,"['Meme', 'Dog-Themed', 'DRC-20', 'Inscriptions']",7581398,1594,7581398.0
doginme,doginme,doginme,"['Meme', 'Base Ecosystem', 'Dog-Themed', 'Base Meme', 'Farcaster Ecosystem']",14017785,1256,14017785.0
dogs-2,dogs,Dogs,"['Meme', 'Dog-Themed', 'TON Ecosystem', 'TON Meme']",66116457,544,70370684.0
dogwifcoin,wif,dogwifhat,"['Solana Ecosystem', 'Meme', 'Dog-Themed', 'Solana Meme', 'GMCI Meme Index', 'GMCI Index']",458672525,142,458672525.0
dola-usd,dola,DOLA,"['Stablecoins', 'USD Stablecoin', 'BNB Chain Ecosystem', 'Fantom Ecosystem', 'Arbitrum Ecosystem', 'Ethereum Ecosystem', 'Optimism Ecosystem', 'Base Ecosystem', 'Crypto-backed Stablecoin', 'Fiat-backed Stablecoin']",72698108,514,202216321.0
dolz-io,dolz,DOLZ.io,"['Artificial Intelligence (AI)', 'Gaming (GameFi)', 'NFT', 'Polygon Ecosystem', 'Ethereum Ecosystem', 'Base Ecosystem', 'Card Games', 'AI Agents']",5362973,1781,5362973.0
dora-factory-2,dora,Dora Factory,['Ethereum Ecosystem'],21909994,998,21909994.0
dovu-2,dovu,DOVU,"['Ethereum Ecosystem', 'Regenerative Finance (ReFi)', 'Real World Assets (RWA)', 'Hedera Ecosystem']",7226683,1615,7465222.0
dragonchain,drgn,Dragonchain,"['Ethereum Ecosystem', 'Alleged SEC Securities', 'Made in USA']",16771241,1159,19727089.0
dream-machine-token,dmt,Dream Machine Token,"['Entertainment', 'Smart Contract Platform', 'SocialFi', 'Gaming (GameFi)', 'Arbitrum Ecosystem', 'Ethereum Ecosystem', 'Layer 3 (L3)', 'Sanko Ecosystem']",10055226,1419,10055226.0
drift-protocol,drift,Drift Protocol,"['Decentralized Finance (DeFi)', 'Derivatives', 'Prediction Markets', 'Solana Ecosystem']",171810718,283,595529666.0
drop-staked-atom,datom,Drop Staked ATOM,"['Decentralized Finance (DeFi)', 'Liquid Staking']",7405400,1597,7405400.0
duckchain-token,duck,DuckChain Token,"['Smart Contract Platform', 'TON Ecosystem', 'Appchains', 'DuckChain Ecosystem']",18461942,1099,31291428.0
dusk-network,dusk,DUSK,"['Smart Contract Platform', 'BNB Chain Ecosystem', 'Layer 1 (L1)', 'Ethereum Ecosystem', 'Zero Knowledge (ZK)', 'Real World Assets (RWA)', 'Energi Ecosystem', 'Binance Labs Portfolio', 'Privacy Blockchain']",49647620,647,49647620.0
dydx-chain,dydx,dYdX,"['Decentralized Exchange (DEX)', 'Smart Contract Platform', 'Decentralized Finance (DeFi)', 'Cosmos Ecosystem', 'Perpetuals', 'Layer 1 (L1)', 'Osmosis Ecosystem', 'Appchains', 'DragonFly Capital Portfolio', 'DeFiance Capital Portfolio', 'Andreessen Horowitz (a16z) Portfolio', 'GMCI DeFi Index', 'Delphi Ventures Portfolio', 'GMCI Index', 'Polychain Capital Portfolio', 'Made in USA']",452250179,145,452250179.0
dydx,ethdydx,dYdX,"['Decentralized Exchange (DEX)', 'Exchange-based Tokens', 'Decentralized Finance (DeFi)', 'Derivatives', 'Perpetuals', 'Ethereum Ecosystem', 'Paradigm Portfolio']",215016823,237,215016823.0
dymension,dym,Dymension,"['Smart Contract Platform', 'Cosmos Ecosystem', 'Modular Blockchain', 'Osmosis Ecosystem', 'Rollups-as-a-Service (RaaS)']",79085648,489,318035713.0
dynex,dnx,Dynex,"['Artificial Intelligence (AI)', 'Smart Contract Platform', 'Layer 1 (L1)', 'Ethereum Ecosystem', 'DePIN', 'Decentralized Science (DeSci)', 'Proof of Work (PoW)']",5342563,1779,5343333.0
earnbet,ebet,EarnBet,"['Gambling (GambleFi)', 'Ethereum Ecosystem']",6920358,1637,10865669.0
ecash,xec,eCash,"['Smart Contract Platform', 'Layer 1 (L1)', 'Bitcoin Fork', 'Proof of Work (PoW)']",408596909,162,408597939.0
echelon-prime,prime,Echelon Prime,"['Smart Contract Platform', 'Gaming (GameFi)', 'Ethereum Ecosystem', 'Base Ecosystem', 'Card Games', 'Paradigm Portfolio', 'Gaming Blockchains', 'Gaming Utility Token']",205795900,247,406330153.0
ecoin-2,ecoin,Ecoin,"['XDC Ecosystem', 'Telos Ecosystem']",95498064,426,207099463.0
ecomi,omi,ECOMI,"['Gaming (GameFi)', 'NFT', 'Collectibles', 'Play To Earn', 'Ethereum Ecosystem', 'Base Ecosystem', 'Energi Ecosystem']",65435110,551,75078453.0
ecox,ecox,ECOx,"['Ethereum Ecosystem', 'Coinbase Ventures Portfolio']",23818158,962,48116996.0
edge,edge,Edge,"['Business Services', 'Ethereum Ecosystem', 'DePIN']",47377579,664,69757556.0
edu-coin,edu,Open Campus,"['Education', 'BNB Chain Ecosystem', 'Polygon Ecosystem', 'Ethereum Ecosystem', 'Binance Launchpad', 'Binance Labs Portfolio']",41204199,710,158414219.0
efinity,efi,Efinity,"['NFT', 'Ethereum Ecosystem']",8158405,1544,187732667.0
eggs-finance,eggs,Eggs Finance,"['Decentralized Finance (DeFi)', 'Lending/Borrowing Protocols', 'Sonic Ecosystem']",42478103,696,42478103.0
edwin,edwin,Edwin,"['Artificial Intelligence (AI)', 'Solana Ecosystem', 'AI Agents', 'Pump.fun Ecosystem', 'AI Framework', 'DeFAI']",5404159,1776,5514453.0
eigenlayer,eigen,Eigenlayer,"['Infrastructure', 'Ethereum Ecosystem', 'Data Availability', 'Restaking', 'Polychain Capital Portfolio', 'Made in USA']",288372213,201,2019561723.0
ekubo-protocol,ekubo,Ekubo Protocol,"['Decentralized Exchange (DEX)', 'Decentralized Finance (DeFi)', 'Automated Market Maker (AMM)', 'Ethereum Ecosystem', 'Starknet Ecosystem']",58122889,586,58122889.0
elastos,ela,Elastos,"['Smart Contract Platform', 'Layer 1 (L1)', 'Ethereum Ecosystem', 'Bitcoin Sidechains', 'SideChain', 'Huobi ECO Chain Ecosystem']",39256375,730,44840845.0
electroneum,etn,Electroneum,"['Smart Contract Platform', 'Layer 1 (L1)']",33595497,798,39238743.0
electronic-usd,eusd,Electronic USD,"['Stablecoins', 'USD Stablecoin', 'Arbitrum Ecosystem', 'Ethereum Ecosystem', 'Base Ecosystem', 'Crypto-backed Stablecoin', 'Fiat-backed Stablecoin']",25164469,938,25164469.0
elixir-deusd,deusd,Elixir deUSD,"['Stablecoins', 'USD Stablecoin', 'Ethereum Ecosystem', 'Fiat-backed Stablecoin']",293549045,198,293549045.0
elixir-finance,elx,Elixir,"['Decentralized Finance (DeFi)', 'Ethereum Ecosystem']",67220413,544,421025149.0
elixir-staked-deusd,sdeusd,Elixir Staked deUSD,"['Stablecoins', 'Ethereum Ecosystem', 'Crypto-backed Stablecoin']",164055632,298,164055632.0
elon4afd,elon4afd,Elon4AfD,"['Solana Ecosystem', 'Meme', 'Elon Musk-Inspired', 'Pump.fun Ecosystem']",21102079,1013,21102079.0
ellipsis,eps,Ellipsis [OLD],"['Decentralized Exchange (DEX)', 'Exchange-based Tokens', 'Decentralized Finance (DeFi)', 'BNB Chain Ecosystem']",11851358,1334,12279902.0
elrond-erd-2,egld,MultiversX,"['Smart Contract Platform', 'Layer 1 (L1)', 'MultiversX Ecosystem', 'Binance Launchpad', 'DWF Labs Portfolio', 'Proof of Stake (PoS)', 'Binance Labs Portfolio', 'GMCI Layer 1 Index', 'GMCI Index', 'Coinbase 50 Index']",525667492,127,525667492.0
elysia,el,ELYSIA,"['Tokenized Real Estate', 'Tokenized Assets', 'Ethereum Ecosystem', 'Real World Assets (RWA)']",27508458,899,27508458.0
elys-network,elys,Elys,"['Decentralized Exchange (DEX)', 'Smart Contract Platform', 'Decentralized Finance (DeFi)', 'Layer 1 (L1)']",5784609,1733,33723009.0
emercoin,emc,EmerCoin,[],8351012,1531,173534717.0
empyreal,emp,Empyreal,"['Artificial Intelligence (AI)', 'Arbitrum Ecosystem', 'Ethereum Ecosystem', 'Base Ecosystem', 'Account Abstraction', 'AI Agents', 'Intent', 'AI Agent Launchpad', 'DeFAI']",14708577,1225,14708577.0
endurance,ace,Fusionist,"['Gaming (GameFi)', 'NFT', 'BNB Chain Ecosystem', 'Binance Launchpool', 'RPG', 'Strategy Games', 'Binance Labs Portfolio', 'Endurance Ecosystem']",36199480,764,100811086.0
energy-web-token,ewt,Energy Web,"['Energy', 'Polkadot Ecosystem', 'Gnosis Chain Ecosystem', 'Regenerative Finance (ReFi)', 'Real World Assets (RWA)', 'Blockchain Capital Portfolio']",49301983,642,56704735.0
enjincoin,enj,Enjin Coin,"['Entertainment', 'Smart Contract Platform', 'Gaming (GameFi)', 'NFT', 'Metaverse', 'Layer 1 (L1)', 'Harmony Ecosystem', 'Ethereum Ecosystem', 'Gaming Blockchains', 'Energi Ecosystem']",165837490,295,171578483.0
enq-enecuum,enq,Enecuum,"['Smart Contract Platform', 'Masternodes', 'Proof of Stake (PoS)', 'Proof of Work (PoW)']",14665478,1227,14665478.0
eos,eos,EOS,"['Smart Contract Platform', 'DWF Labs Portfolio', 'GMCI Layer 1 Index', 'GMCI Index', 'Made in USA', 'Coinbase 50 Index']",745411151,97,1031958654.0
epic-cash,epic,Epic Cash,"['Smart Contract Platform', 'Privacy', 'Layer 1 (L1)', 'Zero Knowledge (ZK)', 'Proof of Work (PoW)']",7170994,1611,7171536.0
equilibria-finance-ependle,ependle,Equilibria Finance ePENDLE,"['BNB Chain Ecosystem', 'Arbitrum Ecosystem', 'Ethereum Ecosystem']",10607616,1394,10607616.0
equilibria-finance,eqb,Equilibria Finance,"['Yield Farming', 'BNB Chain Ecosystem', 'Arbitrum Ecosystem', 'Ethereum Ecosystem', 'Yield Optimizer']",9812409,1439,29372306.0
e-radix,exrd,e-Radix,['Ethereum Ecosystem'],5911152,1717,5911152.0
ergo,erg,Ergo,"['Smart Contract Platform', 'Layer 1 (L1)', 'Proof of Work (PoW)', 'Privacy Blockchain']",60622224,567,74066041.0
escoin-token,elg,Escoin,"['BNB Chain Ecosystem', 'Polygon Ecosystem', 'Ethereum Ecosystem']",24611726,943,33401870.0
eternalai,eai,EternalAI,"['Artificial Intelligence (AI)', 'Ethereum Ecosystem', 'DePIN', 'AI Agents', 'AI Agent Launchpad']",6677438,1654,30064407.0
eth-2x-flexible-leverage-index,eth2x-fli,Index Coop - ETH 2x Flexible Leverage Index,"['Index', 'TokenSets Ecosystem', 'Decentralized Finance (DeFi)', 'DeFi Index', 'Derivatives', 'Leveraged Token', 'Ethereum Ecosystem']",5177883,1800,5177883.0
ethena,ena,Ethena,"['Decentralized Finance (DeFi)', 'Binance Launchpool', 'Ethereum Ecosystem', 'Stablecoin Protocol', 'DragonFly Capital Portfolio', 'Binance Labs Portfolio', 'Delphi Ventures Portfolio', 'OKX Ventures Portfolio', 'World Liberty Financial Portfolio']",2391891343,48,6787513121.0
ethena-usde,usde,Ethena USDe,"['Stablecoins', 'USD Stablecoin', 'Solana Ecosystem', 'Ethereum Ecosystem', 'Fiat-backed Stablecoin']",5453476014,29,5453476014.0
ethereum,eth,Ethereum,"['Smart Contract Platform', 'Layer 1 (L1)', 'Ethereum Ecosystem', 'FTX Holdings', 'Multicoin Capital Portfolio', 'Proof of Stake (PoS)', 'Alameda Research Portfolio', 'Andreessen Horowitz (a16z) Portfolio', 'GMCI Layer 1 Index', 'GMCI 30 Index', 'Delphi Ventures Portfolio', 'Galaxy Digital Portfolio', 'GMCI Index', 'World Liberty Financial Portfolio', 'Coinbase 50 Index']",249006428377,2,249006428377.0
ethereum-classic,etc,Ethereum Classic,"['Smart Contract Platform', 'Layer 1 (L1)', 'Proof of Work (PoW)', 'Coinbase 50 Index']",2730041793,42,2730041793.0
ethereum-name-service,ens,Ethereum Name Service,"['NFT', 'Ethereum Ecosystem', 'Decentralized Identifier (DID)', 'Name Service']",598628443,120,1804968740.0
ethereum-pow-iou,ethw,EthereumPoW,"['Smart Contract Platform', 'EthereumPoW Ecosystem', 'Proof of Work (PoW)']",145848814,322,145848814.0
ether-fi,ethfi,Ether.fi,"['Decentralized Finance (DeFi)', 'Binance Launchpool', 'Arbitrum Ecosystem', 'Ethereum Ecosystem', 'Restaking', 'Liquid Restaking Governance Tokens', 'Ether.fi Ecosystem', 'Consensys Portfolio', 'OKX Ventures Portfolio']",160887131,303,694478174.0
ether-fi-staked-btc,ebtc,Ether.fi Staked BTC,"['Decentralized Finance (DeFi)', 'Ethereum Ecosystem', 'Restaking', 'Liquid Restaking Tokens', 'Liquid Staking']",258819001,218,258819001.0
ether-fi-staked-eth,eeth,ether.fi Staked ETH,"['Liquid Staking Tokens', 'Ethereum Ecosystem', 'Restaking', 'Liquid Restaking Tokens', 'Ether.fi Ecosystem', 'Liquid Staked ETH', 'Liquid Staking']",423741717,152,4705395938.0
ethernity-chain,ern,Ethernity Chain,"['Smart Contract Platform', 'NFT', 'Metaverse', 'Collectibles', 'Polygon Ecosystem', 'Ethereum Ecosystem', 'Layer 2 (L2)', 'Optimism Superchain Ecosystem']",51600361,629,64432524.0
ether-fi-staked-eigen,eeigen,ether.fi Staked EIGEN,"['Decentralized Finance (DeFi)', 'Ethereum Ecosystem', 'Restaking', 'Liquid Restaking Tokens']",7525736,1584,7525736.0
ethervista,vista,Ethervista,"['Decentralized Exchange (DEX)', 'Launchpad', 'Ethereum Ecosystem', 'Binance Alpha Spotlight']",7256476,1609,7256476.0
ethichub,ethix,Ethix,"['Gnosis Chain Ecosystem', 'Celo Ecosystem', 'Ethereum Ecosystem']",9461581,1460,13421229.0
euler,eul,Euler,"['Lending/Borrowing Protocols', 'Ethereum Ecosystem', 'Paradigm Portfolio', 'Coinbase Ventures Portfolio']",103475046,404,150530559.0
ethos,vgx,VGX Token,"['Gaming (GameFi)', 'Ethereum Ecosystem', 'Galaxy Digital Portfolio']",5701555,1740,5717419.0
euro-coin,eurc,EURC,"['Stablecoins', 'EUR Stablecoin', 'Solana Ecosystem', 'Avalanche Ecosystem', 'Ethereum Ecosystem', 'Base Ecosystem', 'Stellar Ecosystem']",126197028,358,126197028.0
eutbl,eutbl,Spiko EU T-Bills Money Market Fund,"['Tokenized Assets', 'Polygon Ecosystem', 'Arbitrum Ecosystem', 'Ethereum Ecosystem', 'Real World Assets (RWA)', 'Starknet Ecosystem', 'Tokenized Treasury Bills (T-Bills)']",117112487,372,117112487.0
everclear,clear,Everclear,"['Infrastructure', 'Ethereum Ecosystem', 'Coinbase Ventures Portfolio', 'Cross-chain Communication']",6887279,1638,21827275.0
evercraft-ecotechnologies,ecet,Evercraft Ecotechnologies,['Polygon Ecosystem'],13174359,1285,15085903.0
evernode,evr,Evernode,[],7169414,1614,14321660.0
everscale,ever,Everscale,"['Infrastructure', 'Layer 1 (L1)', 'Ethereum Ecosystem']",16811365,1169,17928880.0
everipedia,iq,IQ,"['Artificial Intelligence (AI)', 'Big Data', 'Media', 'BNB Chain Ecosystem', 'Polygon Ecosystem', 'Ethereum Ecosystem', 'GMCI DePIN Index', 'Galaxy Digital Portfolio', 'GMCI Index']",91433285,447,91433285.0
evervalue-coin,eva,EverValue Coin,"['Crypto-Backed Tokens', 'Decentralized Finance (DeFi)', 'Arbitrum Ecosystem']",8659725,1517,11952727.0
extra-finance,extra,Extra Finance,"['Optimism Ecosystem', 'Base Ecosystem']",8643248,1515,25842540.0
fact0rn,fact,Fact0rn,"['Smart Contract Platform', 'Decentralized Science (DeSci)', 'Proof of Work (PoW)']",5794460,1737,5794460.0
falcon-finance,usdf,Falcon USD,"['Stablecoins', 'USD Stablecoin', 'Fiat-backed Stablecoin']",54925857,616,54925857.0
fartboy,$fartboy,Fartboy,"['Solana Ecosystem', 'Meme', 'Solana Meme', 'Pump.fun Ecosystem']",79065076,489,79065076.0
fartcoin,fartcoin,Fartcoin,"['Solana Ecosystem', 'Meme', 'Solana Meme', 'AI Meme', 'Pump.fun Ecosystem', 'Terminal of Truths', 'Binance Alpha Spotlight']",234010751,226,234010751.0
fasttoken,ftn,Fasttoken,"['Smart Contract Platform', 'Layer 1 (L1)', 'Ethereum Ecosystem', 'Bahamut Ecosystem']",1715734738,61,3478820856.0
fbomb,bomb,Fantom Bomb,"['Decentralized Finance (DeFi)', 'BNB Chain Ecosystem', 'Fantom Ecosystem', 'Arbitrum Ecosystem', 'Optimism Ecosystem', 'Canto Ecosystem', 'Mantle Ecosystem', 'Base Ecosystem']",12373227,1321,12373227.0
fc-barcelona-fan-token,bar,FC Barcelona Fan Token,"['Sports', 'Fan Token', 'Binance Launchpad', 'Chiliz Ecosystem']",16288107,1180,69793552.0
feg-token-2,feg,FEED EVERY GORILLA,"['Decentralized Finance (DeFi)', 'BNB Chain Ecosystem', 'Launchpad', 'Meme', 'Liquid Staking']",9181447,1480,9181447.0
fetch-ai,fet,Artificial Superintelligence Alliance,"['Artificial Intelligence (AI)', 'NFT', 'BNB Chain Ecosystem', 'Ethereum Ecosystem', 'Binance Launchpad', 'DWF Labs Portfolio', 'Osmosis Ecosystem', 'AI Agents', 'GMCI DePIN Index', 'GMCI Index', 'Outlier Ventures Portfolio']",1419837633,69,1479539755.0
fidu,fidu,Fidu,['Ethereum Ecosystem'],16158982,1182,16158982.0
fimarkcoin-com,fmc,Fimarkcoin.com,"['Centralized Exchange (CEX) Token', 'Tron Ecosystem', 'Made in USA']",51927434,624,258417305.0
filecoin,fil,Filecoin,"['Infrastructure', 'Smart Contract Platform', 'Storage', 'Layer 1 (L1)', 'DePIN', 'Alleged SEC Securities', 'Pantera Capital Portfolio', 'GMCI DePIN Index', 'GMCI 30 Index', 'Sequoia Capital Portfolio', 'Blockchain Capital Portfolio', 'GMCI Index', 'Made in USA']",1863624705,58,5679969793.0
financie-token,fnct,Financie Token,['Ethereum Ecosystem'],6946328,1623,35775358.0
fio-protocol,fio,FIO Protocol,"['Smart Contract Platform', 'Layer 1 (L1)', 'Binance Labs Portfolio']",14396751,1241,17879043.0
finvesta,finvesta,Finvesta,"['Meme', 'PulseChain Ecosystem']",47275984,666,47275560.0
firmachain,fct,Firmachain,"['Smart Contract Platform', 'Layer 1 (L1)', 'Ethereum Ecosystem', 'Osmosis Ecosystem']",27641080,893,27966359.0
first-digital-usd,fdusd,First Digital USD,"['Stablecoins', 'USD Stablecoin', 'BNB Chain Ecosystem', 'Ethereum Ecosystem', 'Sui Ecosystem', 'Fiat-backed Stablecoin']",2103705652,55,2103705652.0
flamingo-finance,flm,Flamingo Finance,"['Decentralized Exchange (DEX)', 'Exchange-based Tokens', 'Decentralized Finance (DeFi)', 'Yield Farming', 'Binance Launchpool', 'Binance Labs Portfolio', 'NEO Ecosystem']",20684994,1032,20684994.0
flare-networks,flr,Flare,"['Smart Contract Platform', 'Layer 1 (L1)', 'DWF Labs Portfolio']",923789269,88,1563957332.0
flayer,flay,Flayer,"['Launchpad', 'Ethereum Ecosystem']",13346706,1283,22244510.0
flex-usd,flexusd,flexUSD,"['Stablecoins', 'USD Stablecoin', 'Ethereum Ecosystem', 'SmartBCH Ecosystem', 'Crypto-backed Stablecoin', 'Fiat-backed Stablecoin']",12930488,1296,12930488.0
flex-coin,flex,FLEX Coin,"['Exchange-based Tokens', 'Centralized Exchange (CEX) Token', 'Ethereum Ecosystem', 'DragonFly Capital Portfolio', 'SmartBCH Ecosystem']",16263288,1179,16274963.0
flock-2,flock,FLOCK,"['Artificial Intelligence (AI)', 'Base Ecosystem', 'AI Applications', 'Binance Alpha Spotlight']",7504769,1582,9993809.0
floki,floki,FLOKI,"['Gaming (GameFi)', 'NFT', 'BNB Chain Ecosystem', 'Metaverse', 'Meme', 'Play To Earn', 'Ethereum Ecosystem', 'Telegram Apps', 'Dog-Themed', 'DWF Labs Portfolio', 'RPG', 'On-chain Gaming', 'TokenFi Launchpad', 'GMCI Meme Index', 'GMCI Index']",609865389,119,630985527.0
flow,flow,Flow,"['Smart Contract Platform', 'Sports', 'NFT', 'Layer 1 (L1)', 'Animoca Brands Portfolio', 'Alleged SEC Securities', 'Multicoin Capital Portfolio', 'Proof of Stake (PoS)', 'Flow Ecosystem', 'Andreessen Horowitz (a16z) Portfolio']",632939084,114,632939084.0
fluence-2,flt,Fluence,"['Infrastructure', 'Ethereum Ecosystem', 'DePIN', 'Multicoin Capital Portfolio', 'Alameda Research Portfolio', 'Made in USA']",5116701,1820,60306359.0
flux-token,flx,Flux Protocol,"['Oracle', 'Ethereum Ecosystem', 'Coinbase Ventures Portfolio', 'Aurora Ecosystem']",8386980,1530,31233137.0
foom,foom,Foom,['Ethereum Ecosystem'],14889691,1225,14889691.0
forta,fort,Forta,"['Artificial Intelligence (AI)', 'Polygon Ecosystem', 'Ethereum Ecosystem', 'Coinbase Ventures Portfolio', 'Cybersecurity', 'Andreessen Horowitz (a16z) Portfolio', 'Blockchain Capital Portfolio']",46736550,667,87204772.0
forty-two-dao-token,ftd,Forty Two DAO Token,"['Decentralized Finance (DeFi)', 'BNB Chain Ecosystem']",7730397,1571,48014888.0
foxsy-ai,foxsy,Foxsy AI,"['Gaming (GameFi)', 'Solana Ecosystem', 'MultiversX Ecosystem', 'Telegram Apps', 'Sports Games']",12166073,1327,57494067.0
fpi-bank,fpibank,FPI Bank,"['Meme', 'TON Ecosystem', 'TON Meme']",8483406,1524,12636955.0
fracton-protocol,ft,Fracton Protocol,"['NFT', 'Ethereum Ecosystem', 'NFTFi']",21225040,1017,24264892.0
fractal-bitcoin,fb,Fractal Bitcoin,"['Infrastructure', 'Smart Contract Platform', 'Proof of Work (PoW)', 'Bitcoin Sidechains', 'SideChain']",13835596,1270,114214230.0
foxy,foxy,Foxy,"['Meme', 'Linea Ecosystem']",9084968,1484,22712420.0
frankencoin,zchf,Frankencoin,"['Stablecoins', 'Decentralized Finance (DeFi)', 'Ethereum Ecosystem', 'Crypto-backed Stablecoin']",13504424,1280,13504424.0
frax,frax,Frax,"['Stablecoins', 'Decentralized Finance (DeFi)', 'USD Stablecoin', 'BNB Chain Ecosystem', 'Seigniorage', 'Avalanche Ecosystem', 'Polygon Ecosystem', 'Fantom Ecosystem', 'Harmony Ecosystem', 'Arbitrum Ecosystem', 'Moonriver Ecosystem', 'Moonbeam Ecosystem', 'Ethereum Ecosystem', 'Optimism Ecosystem', 'Stablecoin Protocol', 'Aurora Ecosystem', 'Polygon zkEVM Ecosystem', 'Evmos Ecosystem', 'Boba Network Ecosystem', 'Fiat-backed Stablecoin']",496163830,134,496163830.0
frax-ether,frxeth,Frax Ether,"['Decentralized Finance (DeFi)', 'BNB Chain Ecosystem', 'Polygon Ecosystem', 'Fantom Ecosystem', 'Arbitrum Ecosystem', 'Moonbeam Ecosystem', 'Liquid Staking Tokens', 'Ethereum Ecosystem', 'Optimism Ecosystem', 'Polygon zkEVM Ecosystem', 'Liquid Staking', 'Made in USA']",277786793,206,277786793.0
frax-price-index-share,fpis,Frax Price Index Share,"['Decentralized Finance (DeFi)', 'BNB Chain Ecosystem', 'Arbitrum Ecosystem', 'Ethereum Ecosystem']",11235635,1371,34461447.0
frax-share,fxs,Frax Share,"['Decentralized Exchange (DEX)', 'Decentralized Finance (DeFi)', 'Yield Farming', 'Automated Market Maker (AMM)', 'BNB Chain Ecosystem', 'Seigniorage', 'Solana Ecosystem', 'Avalanche Ecosystem', 'Polygon Ecosystem', 'Fantom Ecosystem', 'Harmony Ecosystem', 'Arbitrum Ecosystem', 'Moonriver Ecosystem', 'Ethereum Ecosystem', 'Liquid Staking Governance Tokens', 'Curve Ecosystem', 'Stablecoin Protocol', 'Polygon zkEVM Ecosystem', 'Evmos Ecosystem', 'Fraxtal Ecosystem', 'GMCI DeFi Index', 'Liquid Staking', 'GMCI Index', 'Made in USA']",129137138,354,145807993.0
frax-usd,frxusd,Frax USD,"['Stablecoins', 'USD Stablecoin', 'Ethereum Ecosystem', 'Sonic Ecosystem', 'Fiat-backed Stablecoin']",84911509,464,84911509.0
freysa-ai,fai,Freysa AI,"['Artificial Intelligence (AI)', 'Meme', 'Base Ecosystem', 'AI Agents', 'Binance Alpha Spotlight', 'AI Framework']",127707197,356,127707197.0
fric,fric,FRIC,"['Solana Ecosystem', 'Meme', 'Frog-Themed', 'Solana Meme', 'Pump.fun Ecosystem']",5411409,1782,5411409.0
french-connection-finance,zypto,Zypto Token,['Ethereum Ecosystem'],12813550,1304,12813550.0
frenpet,fp,Fren Pet,"['Gaming (GameFi)', 'Base Ecosystem']",5178571,1810,5178571.0
